example_id                                                         | status  | run_time        |
./spec/features/backoffice/services_spec.rb[1:1:12]                | passed  | 2.54 seconds    |
./spec/features/backoffice/services_spec.rb[1:1:13]                | passed  | 1.22 seconds    |
./spec/features/backoffice/services_spec.rb[1:1:14]                | passed  | 0.22773 seconds |
./spec/features/backoffice/services_spec.rb[1:1:15]                | passed  | 1.62 seconds    |
./spec/features/backoffice/services_spec.rb[1:1:16]                | passed  | 1.84 seconds    |
./spec/features/backoffice/services_spec.rb[1:1:17]                | passed  | 1.79 seconds    |
./spec/features/backoffice/services_spec.rb[1:1:18]                | passed  | 0.31725 seconds |
./spec/features/backoffice/services_spec.rb[1:1:19]                | passed  | 0.2101 seconds  |
./spec/features/backoffice/services_spec.rb[1:1:20]                | passed  | 0.27346 seconds |
./spec/features/backoffice/services_spec.rb[1:1:21]                | passed  | 0.27998 seconds |
./spec/features/backoffice/services_spec.rb[1:1:22]                | passed  | 0.30571 seconds |
./spec/features/backoffice/services_spec.rb[1:1:23]                | passed  | 0.40206 seconds |
./spec/features/backoffice/services_spec.rb[1:1:24]                | passed  | 0.40453 seconds |
./spec/features/backoffice/services_spec.rb[1:1:25]                | passed  | 0.50427 seconds |
./spec/features/backoffice/services_spec.rb[1:1:26]                | passed  | 0.53651 seconds |
./spec/features/backoffice/services_spec.rb[1:2:1]                 | passed  | 0.4342 seconds  |
./spec/features/backoffice/services_spec.rb[1:2:2]                 | passed  | 0.39171 seconds |
./spec/features/backoffice_spec.rb[1:1:1]                          | passed  | 0.17574 seconds |
./spec/features/backoffice_spec.rb[1:1:2]                          | passed  | 0.35247 seconds |
./spec/features/backoffice_spec.rb[1:2:1]                          | passed  | 0.18994 seconds |
./spec/features/backoffice_spec.rb[1:2:2]                          | passed  | 0.1423 seconds  |
./spec/features/backoffice_spec.rb[1:3:1]                          | passed  | 0.27918 seconds |
./spec/features/backoffice_spec.rb[1:3:2]                          | passed  | 0.23887 seconds |
./spec/features/categories_spec.rb[1:1]                            | passed  | 0.20575 seconds |
./spec/features/categories_spec.rb[1:2]                            | passed  | 0.23158 seconds |
./spec/features/categories_spec.rb[1:3]                            | passed  | 0.22601 seconds |
./spec/features/categories_spec.rb[1:4]                            | passed  | 0.44317 seconds |
./spec/features/categories_spec.rb[1:5]                            | passed  | 0.3393 seconds  |
./spec/features/checkin_login_spec.rb[1:1]                         | passed  | 0.08578 seconds |
./spec/features/comparison_spec.rb[1:1]                            | passed  | 1.18 seconds    |
./spec/features/comparison_spec.rb[1:2]                            | passed  | 1.26 seconds    |
./spec/features/comparison_spec.rb[1:3]                            | passed  | 1.28 seconds    |
./spec/features/comparison_spec.rb[1:4]                            | passed  | 4.78 seconds    |
./spec/features/comparison_spec.rb[1:5]                            | passed  | 3.53 seconds    |
./spec/features/comparison_spec.rb[1:6]                            | passed  | 3.42 seconds    |
./spec/features/comparison_spec.rb[1:7]                            | passed  | 3.58 seconds    |
./spec/features/comparison_spec.rb[1:8]                            | passed  | 1.1 seconds     |
./spec/features/comparison_spec.rb[1:9]                            | passed  | 1.07 seconds    |
./spec/features/executive/statistics_spec.rb[1:1:1]                | passed  | 0.19669 seconds |
./spec/features/executive/statistics_spec.rb[1:2:1]                | passed  | 0.17549 seconds |
./spec/features/filter_spec.rb[1:1:1]                              | passed  | 1.16 seconds    |
./spec/features/filter_spec.rb[1:1:2]                              | passed  | 1.38 seconds    |
./spec/features/filter_spec.rb[1:2]                                | passed  | 3.56 seconds    |
./spec/features/filter_spec.rb[1:3]                                | passed  | 1.66 seconds    |
./spec/features/filter_spec.rb[1:4]                                | passed  | 1.47 seconds    |
./spec/features/filter_spec.rb[1:5]                                | passed  | 0.36815 seconds |
./spec/features/filter_spec.rb[1:6]                                | passed  | 0.09483 seconds |
./spec/features/filter_spec.rb[1:7:1]                              | passed  | 0.10019 seconds |
./spec/features/filter_spec.rb[1:7:2]                              | passed  | 0.71251 seconds |
./spec/features/filter_spec.rb[1:7:3]                              | passed  | 1.29 seconds    |
./spec/features/filter_spec.rb[1:7:4]                              | passed  | 1.45 seconds    |
./spec/features/filter_spec.rb[1:7:5]                              | passed  | 1.2 seconds     |
./spec/features/filter_spec.rb[1:7:6]                              | passed  | 1.34 seconds    |
./spec/features/filter_spec.rb[1:8:1]                              | passed  | 1.3 seconds     |
./spec/features/filter_spec.rb[1:8:2]                              | passed  | 1.53 seconds    |
./spec/features/filter_spec.rb[1:9:1]                              | passed  | 0.99155 seconds |
./spec/features/help_spec.rb[1:1]                                  | passed  | 0.09086 seconds |
./spec/features/help_spec.rb[1:2]                                  | passed  | 0.07876 seconds |
./spec/features/help_spec.rb[1:3]                                  | passed  | 0.06917 seconds |
./spec/features/home_spec.rb[1:1]                                  | passed  | 0.20654 seconds |
./spec/features/home_spec.rb[1:2:1]                                | passed  | 0.36503 seconds |
./spec/features/home_spec.rb[1:3:1:1]                              | passed  | 0.18709 seconds |
./spec/features/home_spec.rb[1:3:1:2]                              | passed  | 0.22157 seconds |
./spec/features/home_spec.rb[1:3:2:1]                              | passed  | 0.19549 seconds |
./spec/features/home_spec.rb[1:3:2:2]                              | passed  | 0.1958 seconds  |
./spec/features/my_services_spec.rb[1:1:1]                         | passed  | 0.20605 seconds |
./spec/features/my_services_spec.rb[1:1:2]                         | passed  | 0.2286 seconds  |
./spec/features/my_services_spec.rb[1:1:3]                         | passed  | 0.24647 seconds |
./spec/features/my_services_spec.rb[1:1:4]                         | passed  | 0.24006 seconds |
./spec/features/my_services_spec.rb[1:1:5]                         | passed  | 0.27584 seconds |
./spec/features/my_services_spec.rb[1:1:6]                         | passed  | 1.52 seconds    |
./spec/features/my_services_spec.rb[1:1:7]                         | passed  | 0.27425 seconds |
./spec/features/my_services_spec.rb[1:1:8]                         | passed  | 0.34618 seconds |
./spec/features/my_services_spec.rb[1:1:9]                         | passed  | 0.24671 seconds |
./spec/features/my_services_spec.rb[1:1:10]                        | passed  | 0.23346 seconds |
./spec/features/my_services_spec.rb[1:1:11]                        | passed  | 0.24353 seconds |
./spec/features/my_services_spec.rb[1:1:12]                        | passed  | 0.32938 seconds |
./spec/features/my_services_spec.rb[1:1:13]                        | passed  | 0.28246 seconds |
./spec/features/my_services_spec.rb[1:2:1]                         | passed  | 0.09932 seconds |
./spec/features/opinions_spec.rb[1:1:1]                            | passed  | 0.17806 seconds |
./spec/features/order_spec.rb[1:1:1]                               | passed  | 0.26478 seconds |
./spec/features/order_spec.rb[1:1:2]                               | passed  | 0.23821 seconds |
./spec/features/order_spec.rb[1:1:3]                               | passed  | 0.56173 seconds |
./spec/features/order_spec.rb[1:1:4]                               | passed  | 0.55972 seconds |
./spec/features/order_spec.rb[1:1:5]                               | passed  | 0.90794 seconds |
./spec/features/order_spec.rb[1:1:6]                               | passed  | 0.72111 seconds |
./spec/features/order_spec.rb[1:1:7]                               | passed  | 0.92586 seconds |
./spec/features/order_spec.rb[1:1:8]                               | passed  | 0.91076 seconds |
./spec/features/order_spec.rb[1:1:9]                               | passed  | 0.30933 seconds |
./spec/features/order_spec.rb[1:1:10]                              | passed  | 0.22176 seconds |
./spec/features/order_spec.rb[1:1:11]                              | passed  | 0.23449 seconds |
./spec/features/order_spec.rb[1:1:12]                              | passed  | 0.39798 seconds |
./spec/features/order_spec.rb[1:1:13]                              | passed  | 0.46188 seconds |
./spec/features/order_spec.rb[1:1:14]                              | passed  | 0.45917 seconds |
./spec/features/order_spec.rb[1:1:15]                              | passed  | 1.36 seconds    |
./spec/features/order_spec.rb[1:1:16]                              | passed  | 2.53 seconds    |
./spec/features/order_spec.rb[1:1:17]                              | passed  | 1.97 seconds    |
./spec/features/order_spec.rb[1:1:18]                              | passed  | 2.98 seconds    |
./spec/features/order_spec.rb[1:1:19]                              | passed  | 0.38179 seconds |
./spec/features/order_spec.rb[1:1:20]                              | passed  | 0.42706 seconds |
./spec/features/order_spec.rb[1:1:21]                              | passed  | 3.15 seconds    |
./spec/features/order_spec.rb[1:1:22:1]                            | passed  | 0.306 seconds   |
./spec/features/order_spec.rb[1:1:22:2]                            | passed  | 0.48601 seconds |
./spec/features/order_spec.rb[1:1:22:3]                            | passed  | 0.30487 seconds |
./spec/features/order_spec.rb[1:2:1]                               | passed  | 0.20977 seconds |
./spec/features/order_spec.rb[1:2:2]                               | passed  | 0.21583 seconds |
./spec/features/order_spec.rb[1:2:3]                               | passed  | 0.12082 seconds |
./spec/features/order_spec.rb[1:2:4]                               | passed  | 0.11348 seconds |
./spec/features/order_spec.rb[1:2:5]                               | passed  | 0.13916 seconds |
./spec/features/profile_spec.rb[1:1:1]                             | passed  | 0.23394 seconds |
./spec/features/profile_spec.rb[1:1:2]                             | passed  | 0.34503 seconds |
./spec/features/profile_spec.rb[1:1:3]                             | passed  | 0.29916 seconds |
./spec/features/profile_spec.rb[1:2]                               | passed  | 0.09138 seconds |
./spec/features/project_services_spec.rb[1:1]                      | passed  | 0.24694 seconds |
./spec/features/project_services_spec.rb[1:2]                      | passed  | 0.22941 seconds |
./spec/features/project_services_spec.rb[1:3]                      | passed  | 0.22312 seconds |
./spec/features/project_services_spec.rb[1:4]                      | passed  | 0.24028 seconds |
./spec/features/projects_spec.rb[1:1:1]                            | passed  | 0.32469 seconds |
./spec/features/projects_spec.rb[1:1:2]                            | passed  | 0.23517 seconds |
./spec/features/projects_spec.rb[1:1:3]                            | passed  | 0.33083 seconds |
./spec/features/projects_spec.rb[1:1:4]                            | passed  | 0.235 seconds   |
./spec/features/projects_spec.rb[1:1:5]                            | passed  | 0.24394 seconds |
./spec/features/projects_spec.rb[1:1:6]                            | passed  | 0.31516 seconds |
./spec/features/projects_spec.rb[1:1:7]                            | passed  | 0.31295 seconds |
./spec/features/projects_spec.rb[1:1:8]                            | passed  | 0.22677 seconds |
./spec/features/projects_spec.rb[1:1:9]                            | passed  | 0.20842 seconds |
./spec/features/projects_spec.rb[1:1:10]                           | passed  | 0.19154 seconds |
./spec/features/projects_spec.rb[1:1:11:1]                         | passed  | 0.15369 seconds |
./spec/features/projects_spec.rb[1:1:11:2]                         | passed  | 0.21994 seconds |
